Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2018,eng vs Tottenham,25.9,13.6,1.12,4.08,89.5,86.8,53.7,34,59,22.69,403,2576,3923,1732
2018,es vs Valencia,27.7,14.3,1.47,4.33,90.1,86.6,62.4,3,23,25,174,982,1890,893
2018,cz vs Viktoria Plzeň,26.1,17.3,1.78,6.83,92.4,88.6,65.1,23,35,29.5,150,991,2352,1121
2018,ch vs Young Boys,26.7,12.9,1.79,4.83,91,87.1,64.9,4,31,30,126,1045,2296,900
2019,nl Ajax,24.9,13.9,1.24,4,88.5,84.6,52.8,13,23,24.17,231,1173,1768,1078
2019,it Atalanta,27.4,14.1,1.52,4.44,87.4,82.4,56.1,11,34,24,267,1470,2530,1405
2019,es Atlético Madrid,26.2,11.3,1.38,4.61,87.3,80.9,53.6,17,35,23.79,251,1569,2615,1478
2019,es Barcelona,27.6,11,1.51,4.67,90.9,91.5,68.5,30,40,20.89,226,1800,3497,1662
2019,de Bayern Munich,27,23.6,3.09,8.82,90.6,90.3,69.2,27,71,37.36,298,2102,4182,2397
2019,pt Benfica,24.9,14.7,1.22,4.67,88.6,85.1,60.3,4,26,24.17,179,1241,1678,991
2019,eng Chelsea,25.5,16.4,1.9,5.12,89.9,85.9,66.3,9,35,28.5,194,1526,2403,1300
2019,be Club Brugge,25.4,15.2,1.09,2.5,85.7,82.3,57.1,9,25,18.5,180,1077,1315,888
2019,hr Dinamo Zagreb,25.7,9.5,1.14,3,82.4,76,47.1,2,16,15,176,931,1330,624
2019,de Dortmund,25.8,16,1.71,4,90.5,89.8,62.6,17,37,21,233,1724,2520,1576
2019,tr Galatasaray,29.7,15.1,0.7,1.5,86.5,85.5,49,4,15,14.67,160,1291,1612,722
2019,be Genk,23.5,14.8,1.15,3.5,85.7,81.2,55.2,4,27,19.83,168,1177,1335,765
2019,it Inter,27.9,11.2,1.54,4.67,86.4,84.3,58.5,13,29,21.83,203,1377,1521,589
2019,it Juventus,28.7,13.6,1.41,4.5,91.7,89.1,66.5,14,46,24.62,196,1505,3084,1555
2019,de Leverkusen,26.7,17.9,1.12,2.67,90.4,88.4,59.9,5,44,23.83,167,1378,2307,1087
