Year,Squad,Poss,SweeperAvgDist,Per90npxG,SoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TacklesAtt3rd,TouchesMid3rd,TouchesAtt3rd
2020,it Inter,50.3,20.5,1.39,3.33,88.2,90,65.8,5,28,23.5,160,15,1931,924
2020,it Juventus,55.1,17.2,1.71,5.76,90.6,90.5,66.2,6,53,25.68,257,16,3230,1463
2020,ru Krasnodar,37.5,8.4,0.93,2.83,85.7,79.7,45.7,4,15,19.67,154,12,1369,694
2020,it Lazio,44.8,10.8,1.34,4.37,89.4,87,64.1,12,38,20.87,241,10,2163,991
2020,eng Liverpool,52,19.1,1.4,4.3,89,85.7,54.7,8,54,18.2,252,13,3483,1607
2020,ru Loko Moscow,38.8,12.6,0.55,2.5,82.2,80.2,55.3,5,21,12.33,189,9,1258,498
2020,de M'Gladbach,42,12.6,1.25,3.87,90.7,87.5,56,10,33,16.88,232,14,2099,754
2020,eng Manchester City,60.2,19.3,1.61,5.46,93.1,91.6,69,10,56,22.46,305,49,5962,2764
2020,eng Manchester Utd,51,14.5,1.38,5.33,89.1,85.8,58.6,6,26,25.33,151,13,1887,1017
2020,fr Marseille,50,16.2,0.59,1.83,89.8,87.7,49.4,0,24,14.17,175,9,1773,643
2020,dk Midtjylland,42.3,15.3,0.91,3.5,80.6,78.7,51.7,5,14,17,204,11,1341,716
2020,gr Olympiacos,49,9.4,0.69,1.67,88.9,85.6,56.2,1,32,12.17,171,6,1804,614
2020,fr Paris S-G,48.3,12.5,1.52,3.92,92.1,87.7,54.5,17,36,20.58,342,18,3474,1457
2020,pt Porto,39.8,13.8,0.91,3.39,86.7,83.7,47.8,3,33,12.97,256,14,2127,1075
2020,de RB Leipzig,52.4,18.6,1.22,3.75,87.5,83.5,55,3,33,23,273,16,2593,1183
2020,at RB Salzburg,48.8,13.4,1.87,6.5,82.5,81.2,48.5,9,12,27.83,214,12,1740,948
2020,es Real Madrid,57.6,18.2,1.47,5.08,92.9,90.6,68.7,9,130,23.5,349,31,4695,2321
2020,fr Rennes,49.5,20.3,1,4.17,88.8,85.7,58.5,0,32,22.17,139,11,1766,844
2020,es Sevilla,60.3,17.7,1.42,6.12,91.2,89.2,64.3,3,92,28.13,185,21,2857,1534
2020,ua Shakhtar,45.3,10.6,0.78,2.83,90.9,90.9,57.1,4,28,12.33,144,7,1695,520
2020,ru Zenit,46.2,10.6,0.93,2.33,86.5,86,59.6,2,27,17.33,188,11,1582,896
2020,nl vs Ajax,43.7,13.5,1.21,4.5,81.9,79.3,57.5,7,21,19.67,217,8,1536,754
2020,it vs Atalanta,53.8,16.9,1.11,4.5,89.9,87.4,54.5,6,24,19.75,257,17,2683,1313
2020,es vs Atlético Madrid,51.4,13.3,1.09,2.75,87.7,85.2,58.4,4,26,19.5,211,13,2499,1240
2020,es vs Barcelona,37.3,10.5,1.22,3.12,90.5,88.2,61.1,12,31,15.87,310,12,2056,760
2020,tr vs Başakşehir,57.2,14.6,1.77,5.67,90.3,86.7,64.5,7,26,29.33,158,11,2206,1080
2020,de vs Bayern Munich,40.2,13.4,1.4,4.8,87.2,83.3,53.5,11,31,19,293,16,2197,1122
2020,eng vs Chelsea,48,15.9,0.69,2.77,89.2,86.8,58.6,2,83,16.92,324,29,3889,1872
2020,be vs Club Brugge,49.8,8.9,1.42,4.5,88.9,88.5,59.7,9,24,21.83,169,12,1742,868
2020,de vs Dortmund,50.6,17.3,1.13,3.7,91.2,88.5,64.2,5,61,20.4,279,25,3225,1808
2020,ua vs Dynamo Kyiv,58,13.6,1.99,6.33,91.4,90.9,65.7,4,34,25.83,150,10,2377,1265
2020,hu vs Ferencváros,56.2,13.7,1.74,5.5,92,88.9,66.9,7,20,24.33,176,20,2367,1168
2020,it vs Inter,49.8,16.1,0.83,3.5,90.5,91.3,58.1,3,51,16.17,151,10,1925,772
2020,it vs Juventus,44.9,13.4,0.98,3.96,91.3,88.7,58.3,2,39,17.64,227,12,2096,1197
2020,ru vs Krasnodar,62.8,15.8,1.46,6.67,90.4,88.5,63.5,0,49,32.67,137,17,2333,1222
2020,it vs Lazio,55.4,19.5,1.25,4.12,90.8,89.8,69.1,4,57,19.37,221,14,2805,1523
2020,eng vs Liverpool,47.8,15.1,1.31,3.7,88.7,82.6,54.4,11,71,18.2,321,16,2935,1393
