,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
129,42.7,2019,61.7,37.7,35.9,78.7,48.3,4,63,2,-0.14,4.44,12.56
130,37.7,2019,60.9,41.5,58.7,76.9,45.1,5,70,0.96,0.66,4.61,12.75
131,38.8,2019,69.9,38.8,20.6,86.6,57,5,72.9,1.56,-0.39,4.67,11.44
132,40.7,2019,61,48.1,17.3,85.6,63.8,11,79.4,0.73,2.3,8.82,21.73
133,40.3,2019,52.8,34,22.3,80.3,48.5,2,64.3,1.83,-0.22,4.67,13.67
134,40,2019,69.6,49.4,28.3,82.4,51.4,3,54.5,2,0.59,5.12,15.5
135,45.6,2019,56.6,45.5,46,75.5,41.5,0,53.8,2,-0.51,2.5,10.17
136,35.7,2019,45.1,34.3,68.3,71.3,35.2,1,68.6,2.17,-1.46,3,8.17
137,40.5,2019,61.5,19,31.5,84.7,51.8,4,70.3,1.37,0.17,4,11.87
138,40,2019,64.8,38.2,56.7,77.7,46.7,0,74.5,2.33,-2.03,1.5,8.33
139,44.3,2019,53,41.4,46,73.8,40.3,0,56.1,3.33,-1.88,3.5,11.17
140,38.9,2019,64.5,50,16.9,78.6,41.5,2,73.3,1.5,-0.05,4.67,12.33
141,35.5,2019,66.9,55.9,11.6,85.2,59.4,6,78.3,0.75,0.15,4.5,13.5
142,38.9,2019,63.2,37.9,38.2,83.1,58.8,2,67.9,1.5,-0.01,2.67,13.67
143,30.7,2019,55.9,24.7,47.5,75.1,42.7,0,59.4,2.33,-0.22,4.17,14.17
144,50,2019,64.5,53.4,21.8,83.4,66.6,4,66.7,1.44,0.89,5.52,17.52
145,33.6,2019,59.3,41.7,52.1,72.8,32.3,1,76.2,1.83,-1.17,3.5,9.17
146,40.3,2019,67.1,35.3,37.9,78.2,44.9,4,71.1,1.4,-0.57,3.9,11.9
147,44.8,2019,68.4,43.8,27.6,87.1,62.4,6,70.4,1.01,1.91,6.44,15.89
148,41.7,2019,56.7,51.4,22.2,82.1,47.5,3,80,1,0.48,3,13.5
149,50.9,2019,65.1,22.7,46.7,78.1,45,1,62.9,2.33,-0.71,3.33,12.5
150,41.8,2019,60.1,30.5,29.7,85.4,53.2,8,79.3,0.55,1.27,5.36,12.09
151,40,2019,58.6,41,28.3,82.1,57.1,6,76.1,1.2,0.5,4.6,15.4
152,38.8,2019,45.6,27.9,34.7,74.6,44.8,2,55.2,2.17,0.3,5.83,15.5
153,35.1,2019,62.6,34.4,20.6,86,54.8,3,67.6,1.5,0.36,6.62,17.25
154,38,2019,46.9,33.6,56.1,74.8,36.5,1,66,3.33,-2.64,2.83,9.17
155,34.2,2019,62.9,38.6,27.3,84.6,49.8,1,63.6,2.17,-0.81,3.67,10
156,31.1,2019,45.9,48.1,39.4,78.5,48.7,0,71.4,1.67,-0.46,5.5,15
157,40.1,2019,56.3,38.6,35.8,82.4,50,3,66,2.25,0.42,5.63,12
158,37.8,2019,54.1,35.7,50,78.6,48.5,3,66.7,1.87,-0.13,4.37,12.62
